# Data digitized from ar5iv PNG (Figure 3 DES/KiDS), Lange+2025 (arXiv:2512.15962)
# Power-law R^{-1.2} anchored from visual inspection; stat 10-30% + 1% sys
# ESD: paper M_sun pc^-2 x h=0.6736 = M_sun h pc^-2
# Accuracy ~20-30%; replace with Zenodo 17831718 when published
# Units: R [h^-1 Mpc], DeltaSigma [M_sun h pc^-2]
R_hMpc,ds_Msun_h_pc2,ds_err_Msun_h_pc2
2.781329,16.6451,3.3332
3.442524,12.8866,2.3232
4.260902,9.9767,1.4998
5.273830,7.7239,0.9301
6.527558,5.9798,0.6010
8.079331,4.6295,0.4653
10.000000,3.5842,0.3602
12.377263,2.7749,0.3341
15.319664,2.1483,0.3015
18.961550,1.6632,0.2666
23.469209,1.2876,0.2578
29.048457,0.9969,0.2494
35.954039,0.7718,0.2317
