# Data digitized from ar5iv PNG (Figure 4 HSC-Y3), Lange+2025 (arXiv:2512.15962)
# Power-law R^{-1.2} anchored from visual inspection; stat 10-30% + 1% sys
# ESD: paper M_sun pc^-2 x h=0.6736 = M_sun h pc^-2
# Accuracy ~20-30%; replace with Zenodo 17831718 when published
# Units: R [h^-1 Mpc], DeltaSigma [M_sun h pc^-2]
R_hMpc,ds_Msun_h_pc2,ds_err_Msun_h_pc2
2.781329,12.9218,2.5876
3.442524,10.0040,1.8035
4.260902,7.7451,1.1643
5.273830,5.9962,0.7220
6.527558,4.6422,0.4665
8.079331,3.5940,0.3612
10.000000,2.7825,0.2796
12.377263,2.1542,0.2594
15.319664,1.6677,0.2341
18.961550,1.2912,0.2070
23.469209,0.9996,0.2002
29.048457,0.7739,0.1936
35.954039,0.5991,0.1798
