rp_hMpc,rpwp_h2Mpc2 ,rpwp_upper_h2Mpc2      
0.1277855, 83.8709677    , 87.4193548
0.2020950, 92.2580645    , 95.4838710
0.3162278, 93.5483871    , 96.7741935
0.5054797, 93.5483871    , 97.0967742
0.8079926, 90.9677419    , 93.8709677
1.2643050, 98.7096774    , 101.6129032
2.0209499, 110.9677419   , 114.5161290
3.1622777, 131.6129032   , 135.4838710
5.0547968, 148.3870968   , 151.9354839
7.9094839, 160.0000000   , 164.8387097
12.3763503, 165.1612903  ,  170.9677419
19.7831888, 158.0645161  ,  166.4516129
31.2874645, 126.7741935  ,  138.7096774
50.0119829, 73.2258065   ,  90.6451613
