# Data digitized from ar5iv PNG (Figure 4 HSC-Y3), Lange+2025 (arXiv:2512.15962)
# Power-law R^{-1.2} anchored from visual inspection; stat 10-30% + 1% sys
# ESD: paper M_sun pc^-2 x h=0.6736 = M_sun h pc^-2
# Accuracy ~20-30%; replace with Zenodo 17831718 when published
# Units: R [h^-1 Mpc], DeltaSigma [M_sun h pc^-2]
R_hMpc,ds_Msun_h_pc2,ds_err_Msun_h_pc2
2.781329,73.8079,14.7800
3.442524,57.1417,10.3014
4.260902,44.2388,6.6506
5.273830,34.2495,4.1242
6.527558,26.5158,2.6648
8.079331,20.5284,2.0631
10.000000,15.8930,1.5972
12.377263,12.3043,1.4816
15.319664,9.5259,1.3370
18.961550,7.3749,1.1823
23.469209,5.7096,1.1434
29.048457,4.4204,1.1060
35.954039,3.4222,1.0272
