rp_hMpc,rpwp_h2Mpc2 ,rpwp_upper_h2Mpc2      
0.8961505, 197.3451327  , 205.0884956
1.0693024, 195.6858407  , 202.3230088
1.2604601, 203.4292035  , 210.0663717
1.4948691, 211.7256637  , 221.1283186
1.7728715, 212.8318584  , 222.2345133
2.1025742, 212.8318584  , 221.6814159
2.4935920, 248.2300885  , 256.5265487
2.9393680, 252.1017699  , 262.6106195
3.4860053, 251.5486726  , 264.8230088
4.1091937, 258.1858407  , 268.6946903
4.8733846, 269.8008850  , 280.3097345
5.7796929, 283.6283186  , 294.1371681
6.9385679, 289.7123894  , 300.2212389
8.1292955, 294.1371681  , 305.1991150
9.6411088, 295.2433628  , 309.6238938
11.3646367, 300.2212389 ,  315.7079646
13.4781296, 297.4557522 ,  312.3893805
15.9846711, 284.7345133 ,  299.6681416
19.0731876, 277.5442478 ,  294.6902655
22.6202476, 265.9292035 ,  283.6283186
26.6640384, 234.9557522 ,  252.6548673
31.4307321, 202.8761062 ,  222.7876106
37.5036964, 164.1592920 ,  182.9646018
44.2081810, 169.6902655 ,  190.7079646
52.4296212, 148.6725664 ,  173.0088496
62.1800109, 137.0575221 ,  164.1592920
72.8507224, 129.8672566 ,  159.1814159
