# Excess surface density DeltaSigma(R) — Zu & Mandelbaum 2015 Fig. 6
# Digitized with WebPlotDigitizer; midpoint in log-space where bounds given
# R in h^-1 Mpc; DeltaSigma in M_sun h pc^-2
R_hMpc,ds_Msun_h_pc2,ds_err_Msun_h_pc2
0.037600,51.687500,10.337500
0.056200,24.312300,4.862460
0.083200,23.617200,4.723440
0.122400,12.296000,2.459200
0.185700,12.385500,2.477100
0.272900,8.372100,1.674420
0.414100,6.084900,1.216980
0.608400,4.652800,0.930560
0.901000,4.296100,0.859220
1.400600,2.904000,0.580800
2.058200,2.188600,0.437720
3.049100,1.579200,0.315840
4.517700,1.044500,0.208900
6.856000,0.711200,0.142240
10.070000,0.711200,0.142240
15.156600,0.559800,0.111960
