# Projected correlation function wp(rp) — Zu & Mandelbaum 2015 Fig. 6
# Digitized with WebPlotDigitizer; midpoint in log-space where bounds given
# rp and wp in h^-1 Mpc
rp_hMpc,wp_hMpc,wp_err_hMpc
0.056900,560.018156,77.811800
0.084500,585.483662,72.149300
0.124500,448.208791,54.451100
0.183600,390.018475,53.509550
0.274100,307.502864,43.263600
0.401600,242.851300,36.291750
0.603100,165.273246,29.046950
0.883500,119.081381,23.865650
1.318700,75.748557,19.757550
1.943900,54.202193,16.674150
2.865200,37.399806,11.166950
4.302600,22.391941,7.213600
6.301600,13.615957,4.884450
9.172000,8.720765,3.353850
13.688300,5.843106,1.946200
