# z log_nh fraction_observed
0.000000000000000000e+00 2.000000000000000000e+01 6.066138152911065839e-01
0.000000000000000000e+00 2.050000000000000000e+01 5.713787604747926352e-01
0.000000000000000000e+00 2.100000000000000000e+01 4.809982756375373869e-01
0.000000000000000000e+00 2.150000000000000000e+01 3.165692588413098196e-01
0.000000000000000000e+00 2.200000000000000000e+01 1.444109587021609464e-01
0.000000000000000000e+00 2.250000000000000000e+01 3.926987104045120275e-02
0.000000000000000000e+00 2.300000000000000000e+01 1.387404189958578449e-02
0.000000000000000000e+00 2.350000000000000000e+01 1.331438383315158847e-02
0.000000000000000000e+00 2.400000000000000000e+01 1.331436961550269867e-02
0.000000000000000000e+00 2.450000000000000000e+01 1.331436961550269867e-02
0.000000000000000000e+00 2.500000000000000000e+01 1.331436961550269867e-02
0.000000000000000000e+00 2.550000000000000000e+01 1.331436961550269867e-02
0.000000000000000000e+00 2.600000000000000000e+01 1.331436961550269867e-02
5.000000000000000000e-01 2.000000000000000000e+01 6.798056523963096343e-01
5.000000000000000000e-01 2.050000000000000000e+01 6.624375485032441002e-01
5.000000000000000000e-01 2.100000000000000000e+01 6.127134134445061386e-01
5.000000000000000000e-01 2.150000000000000000e+01 4.948368978406703644e-01
5.000000000000000000e-01 2.200000000000000000e+01 3.099318941775077163e-01
5.000000000000000000e-01 2.250000000000000000e+01 1.372644489625405861e-01
5.000000000000000000e-01 2.300000000000000000e+01 3.626821897929548288e-02
5.000000000000000000e-01 2.350000000000000000e+01 1.668694974636565978e-02
5.000000000000000000e-01 2.400000000000000000e+01 1.641380161020207853e-02
5.000000000000000000e-01 2.450000000000000000e+01 1.641379918652896217e-02
5.000000000000000000e-01 2.500000000000000000e+01 1.641379918652896217e-02
5.000000000000000000e-01 2.550000000000000000e+01 1.641379918652896217e-02
5.000000000000000000e-01 2.600000000000000000e+01 1.641379918652896217e-02
1.000000000000000000e+00 2.000000000000000000e+01 7.211978291291755161e-01
1.000000000000000000e+00 2.050000000000000000e+01 7.117463676853258425e-01
1.000000000000000000e+00 2.100000000000000000e+01 6.833892079811949571e-01
1.000000000000000000e+00 2.150000000000000000e+01 6.068513824466846840e-01
1.000000000000000000e+00 2.200000000000000000e+01 4.496410081341563614e-01
1.000000000000000000e+00 2.250000000000000000e+01 2.548714610561163552e-01
1.000000000000000000e+00 2.300000000000000000e+01 9.686164991414823733e-02
1.000000000000000000e+00 2.350000000000000000e+01 2.764242601983169303e-02
1.000000000000000000e+00 2.400000000000000000e+01 2.042712602081331666e-02
1.000000000000000000e+00 2.450000000000000000e+01 2.040835152968841285e-02
1.000000000000000000e+00 2.500000000000000000e+01 2.040835152897778684e-02
1.000000000000000000e+00 2.550000000000000000e+01 2.040835152897778684e-02
1.000000000000000000e+00 2.600000000000000000e+01 2.040835152897778684e-02
1.500000000000000000e+00 2.000000000000000000e+01 7.505737201869555619e-01
1.500000000000000000e+00 2.050000000000000000e+01 7.448684547179639237e-01
1.500000000000000000e+00 2.100000000000000000e+01 7.273698380778820249e-01
1.500000000000000000e+00 2.150000000000000000e+01 6.770005486881595091e-01
1.500000000000000000e+00 2.200000000000000000e+01 5.557672551530560279e-01
1.500000000000000000e+00 2.250000000000000000e+01 3.666267650328621230e-01
1.500000000000000000e+00 2.300000000000000000e+01 1.774514672196654541e-01
1.500000000000000000e+00 2.350000000000000000e+01 5.774712552714652419e-02
1.500000000000000000e+00 2.400000000000000000e+01 2.667853766025070003e-02
1.500000000000000000e+00 2.450000000000000000e+01 2.586910831801215310e-02
1.500000000000000000e+00 2.500000000000000000e+01 2.586907601034072954e-02
1.500000000000000000e+00 2.550000000000000000e+01 2.586907601034072954e-02
1.500000000000000000e+00 2.600000000000000000e+01 2.586907601034072954e-02
2.000000000000000000e+00 2.000000000000000000e+01 7.753175085388771537e-01
2.000000000000000000e+00 2.050000000000000000e+01 7.715782705928095897e-01
2.000000000000000000e+00 2.100000000000000000e+01 7.599816172343338838e-01
2.000000000000000000e+00 2.150000000000000000e+01 7.254623745209498598e-01
2.000000000000000000e+00 2.200000000000000000e+01 6.344051585494845380e-01
2.000000000000000000e+00 2.250000000000000000e+01 4.666270874862610829e-01
2.000000000000000000e+00 2.300000000000000000e+01 2.633076719076055117e-01
2.000000000000000000e+00 2.350000000000000000e+01 1.065302795319476442e-01
2.000000000000000000e+00 2.400000000000000000e+01 3.899075237497459656e-02
2.000000000000000000e+00 2.450000000000000000e+01 3.315634871174020365e-02
2.000000000000000000e+00 2.500000000000000000e+01 3.314983970418807629e-02
2.000000000000000000e+00 2.550000000000000000e+01 3.314983970417895859e-02
2.000000000000000000e+00 2.600000000000000000e+01 3.314983970417895859e-02
2.500000000000000000e+00 2.000000000000000000e+01 8.291813050547940378e-01
2.500000000000000000e+00 2.050000000000000000e+01 8.265510611131767771e-01
2.500000000000000000e+00 2.100000000000000000e+01 8.183453022263764698e-01
2.500000000000000000e+00 2.150000000000000000e+01 7.934709029426506577e-01
2.500000000000000000e+00 2.200000000000000000e+01 7.243188678829918237e-01
2.500000000000000000e+00 2.250000000000000000e+01 5.832757077057626471e-01
2.500000000000000000e+00 2.300000000000000000e+01 3.785582507051112877e-01
2.500000000000000000e+00 2.350000000000000000e+01 1.970726545338944147e-01
2.500000000000000000e+00 2.400000000000000000e+01 9.163883466631732311e-02
2.500000000000000000e+00 2.450000000000000000e+01 7.330428407147748793e-02
2.500000000000000000e+00 2.500000000000000000e+01 7.318396359638315585e-02
2.500000000000000000e+00 2.550000000000000000e+01 7.318396356293795091e-02
2.500000000000000000e+00 2.600000000000000000e+01 7.318396356293795091e-02
3.000000000000000000e+00 2.000000000000000000e+01 8.469414282110980796e-01
3.000000000000000000e+00 2.050000000000000000e+01 8.449997917483714760e-01
3.000000000000000000e+00 2.100000000000000000e+01 8.389191586792339450e-01
3.000000000000000000e+00 2.150000000000000000e+01 8.202671676293501468e-01
3.000000000000000000e+00 2.200000000000000000e+01 7.665564115454724936e-01
3.000000000000000000e+00 2.250000000000000000e+01 6.497644204906993792e-01
3.000000000000000000e+00 2.300000000000000000e+01 4.487646372390600713e-01
3.000000000000000000e+00 2.350000000000000000e+01 2.443517611034287107e-01
3.000000000000000000e+00 2.400000000000000000e+01 1.070673360608485891e-01
3.000000000000000000e+00 2.450000000000000000e+01 7.959800415958523390e-02
3.000000000000000000e+00 2.500000000000000000e+01 7.938034155987619411e-02
3.000000000000000000e+00 2.550000000000000000e+01 7.938034147008359021e-02
3.000000000000000000e+00 2.600000000000000000e+01 7.938034147008359021e-02
3.500000000000000000e+00 2.000000000000000000e+01 8.633901552575387051e-01
3.500000000000000000e+00 2.050000000000000000e+01 8.619013967625337447e-01
3.500000000000000000e+00 2.100000000000000000e+01 8.572270627734948079e-01
3.500000000000000000e+00 2.150000000000000000e+01 8.427737380376473242e-01
3.500000000000000000e+00 2.200000000000000000e+01 8.001389522991522174e-01
3.500000000000000000e+00 2.250000000000000000e+01 7.043923231057426237e-01
3.500000000000000000e+00 2.300000000000000000e+01 5.138107851840785223e-01
3.500000000000000000e+00 2.350000000000000000e+01 2.927950583726293132e-01
3.500000000000000000e+00 2.400000000000000000e+01 1.253750320789425721e-01
3.500000000000000000e+00 2.450000000000000000e+01 8.617884534959044385e-02
3.500000000000000000e+00 2.500000000000000000e+01 8.581991650816724049e-02
3.500000000000000000e+00 2.550000000000000000e+01 8.581991635626377846e-02
3.500000000000000000e+00 2.600000000000000000e+01 8.581991635626377846e-02
4.000000000000000000e+00 2.000000000000000000e+01 8.794934169120477430e-01
4.000000000000000000e+00 2.050000000000000000e+01 8.783072812072634239e-01
4.000000000000000000e+00 2.100000000000000000e+01 8.745770328782618286e-01
4.000000000000000000e+00 2.150000000000000000e+01 8.629838793501759531e-01
4.000000000000000000e+00 2.200000000000000000e+01 8.282483806339679955e-01
4.000000000000000000e+00 2.250000000000000000e+01 7.498289563883020481e-01
4.000000000000000000e+00 2.300000000000000000e+01 5.740550771105646932e-01
4.000000000000000000e+00 2.350000000000000000e+01 3.432682752881966448e-01
4.000000000000000000e+00 2.400000000000000000e+01 1.488449534737148194e-01
4.000000000000000000e+00 2.450000000000000000e+01 9.388700636677269062e-02
4.000000000000000000e+00 2.500000000000000000e+01 9.307746618230715308e-02
4.000000000000000000e+00 2.550000000000000000e+01 9.307746368890024158e-02
4.000000000000000000e+00 2.600000000000000000e+01 9.307746368890024158e-02
4.500000000000000000e+00 2.000000000000000000e+01 8.956156225412273963e-01
4.500000000000000000e+00 2.050000000000000000e+01 8.946540366393198607e-01
4.500000000000000000e+00 2.100000000000000000e+01 8.916260434911258415e-01
4.500000000000000000e+00 2.150000000000000000e+01 8.821770831261451784e-01
4.500000000000000000e+00 2.200000000000000000e+01 8.535109077604559058e-01
4.500000000000000000e+00 2.250000000000000000e+01 7.894939687438111697e-01
4.500000000000000000e+00 2.300000000000000000e+01 6.297776355358046807e-01
4.500000000000000000e+00 2.350000000000000000e+01 3.945259320051270890e-01
4.500000000000000000e+00 2.400000000000000000e+01 1.768423732084000166e-01
4.500000000000000000e+00 2.450000000000000000e+01 1.030379277008325600e-01
4.500000000000000000e+00 2.500000000000000000e+01 1.012216249749914310e-01
4.500000000000000000e+00 2.550000000000000000e+01 1.012215944932798734e-01
4.500000000000000000e+00 2.600000000000000000e+01 1.012215944932798734e-01
5.000000000000000000e+00 2.000000000000000000e+01 9.120783249605236565e-01
5.000000000000000000e+00 2.050000000000000000e+01 9.112758108241509891e-01
